M49_Code,ISO_Code,Country,region_m49,Region_Name,Grouping,include
44,BHS,Bahamas,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
44,BHS,Bahamas,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
44,BHS,Bahamas,722,Small island developing States (SIDS),2.3-Other groupings,1
44,BHS,Bahamas,515,Developing regions (MDG),2.5-Regional (MDG),1
44,BHS,Bahamas,29,Caribbean (M49),2.4-Regional (M49),1
48,BHR,Bahrain,515,Developing regions (MDG),2.5-Regional (MDG),1
48,BHR,Bahrain,485,Western Asia (MDG),2.5-Regional (MDG),1
48,BHR,Bahrain,142,Asia (M49),2.4-Regional (M49),1
48,BHR,Bahrain,145,Western Asia (M49),2.1-Regional (SDG),1
48,BHR,Bahrain,1,World,1.0-Global,1
48,BHR,Bahrain,747,Western Asia (M49) and Northern Africa (M49),2.1-Regional (SDG),1
50,BGD,Bangladesh,142,Asia (M49),2.4-Regional (M49),1
50,BGD,Bangladesh,199,Least Developed Countries (LDCs),2.3-Other groupings,1
50,BGD,Bangladesh,1,World,1.0-Global,1
50,BGD,Bangladesh,34,Southern Asia (MDG=M49),2.5-Regional (MDG),1
50,BGD,Bangladesh,62,Central Asia (M49) and Southern Asia (MDG=M49),2.1-Regional (SDG),1
50,BGD,Bangladesh,34,Southern Asia (MDG=M49),2.1-Regional (SDG),1
50,BGD,Bangladesh,515,Developing regions (MDG),2.5-Regional (MDG),1
52,BRB,Barbados,515,Developing regions (MDG),2.5-Regional (MDG),1
52,BRB,Barbados,722,Small island developing States (SIDS),2.3-Other groupings,1
52,BRB,Barbados,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
52,BRB,Barbados,29,Caribbean (M49),2.4-Regional (M49),1
52,BRB,Barbados,1,World,1.0-Global,1
52,BRB,Barbados,19,Americas (m49),2.4-Regional (M49),1
52,BRB,Barbados,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
112,BLR,Belarus,151,Eastern Europe (M49),2.4-Regional (M49),1
112,BLR,Belarus,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
112,BLR,Belarus,1,World,1.0-Global,1
112,BLR,Belarus,150,Europe (M49),2.1-Regional (SDG),1
112,BLR,Belarus,514,Developed regions (MDG),2.5-Regional (MDG),1
56,BEL,Belgium,1,World,1.0-Global,1
56,BEL,Belgium,150,Europe (M49),2.1-Regional (SDG),1
56,BEL,Belgium,155,Western Europe (M49),2.4-Regional (M49),1
56,BEL,Belgium,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
56,BEL,Belgium,514,Developed regions (MDG),2.5-Regional (MDG),1
84,BLZ,Belize,19,Americas (m49),2.4-Regional (M49),1
84,BLZ,Belize,1,World,1.0-Global,1
84,BLZ,Belize,13,Central America (M49),2.4-Regional (M49),1
84,BLZ,Belize,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
84,BLZ,Belize,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
84,BLZ,Belize,515,Developing regions (MDG),2.5-Regional (MDG),1
84,BLZ,Belize,722,Small island developing States (SIDS),2.3-Other groupings,1
204,BEN,Benin,11,Western Africa (M49),2.4-Regional (M49),1
204,BEN,Benin,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
204,BEN,Benin,199,Least Developed Countries (LDCs),2.3-Other groupings,1
204,BEN,Benin,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
204,BEN,Benin,2,Africa (M49),2.4-Regional (M49),1
204,BEN,Benin,515,Developing regions (MDG),2.5-Regional (MDG),1
204,BEN,Benin,1,World,1.0-Global,1
60,BMU,Bermuda,1,World,1.0-Global,0
60,BMU,Bermuda,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),0
60,BMU,Bermuda,19,Americas (m49),2.4-Regional (M49),0
60,BMU,Bermuda,514,Developed regions (MDG),2.5-Regional (MDG),0
60,BMU,Bermuda,21,Northern America (M49),2.1-Regional (SDG),0
64,BTN,Bhutan,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
64,BTN,Bhutan,142,Asia (M49),2.4-Regional (M49),1
64,BTN,Bhutan,199,Least Developed Countries (LDCs),2.3-Other groupings,1
64,BTN,Bhutan,515,Developing regions (MDG),2.5-Regional (MDG),1
64,BTN,Bhutan,1,World,1.0-Global,1
64,BTN,Bhutan,34,Southern Asia (MDG=M49),2.5-Regional (MDG),1
64,BTN,Bhutan,62,Central Asia (M49) and Southern Asia (MDG=M49),2.1-Regional (SDG),1
64,BTN,Bhutan,34,Southern Asia (MDG=M49),2.1-Regional (SDG),1
68,BOL,Bolivia (Plurinational State of),1,World,1.0-Global,1
68,BOL,Bolivia (Plurinational State of),515,Developing regions (MDG),2.5-Regional (MDG),1
68,BOL,Bolivia (Plurinational State of),432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
68,BOL,Bolivia (Plurinational State of),419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
68,BOL,Bolivia (Plurinational State of),419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
68,BOL,Bolivia (Plurinational State of),5,South America (M49),2.4-Regional (M49),1
68,BOL,Bolivia (Plurinational State of),19,Americas (m49),2.4-Regional (M49),1
535,BES,"Bonaire, Sint Eustatius and Saba",419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),0
535,BES,"Bonaire, Sint Eustatius and Saba",29,Caribbean (M49),2.4-Regional (M49),0
535,BES,"Bonaire, Sint Eustatius and Saba",419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),0
535,BES,"Bonaire, Sint Eustatius and Saba",515,Developing regions (MDG),2.5-Regional (MDG),0
535,BES,"Bonaire, Sint Eustatius and Saba",1,World,1.0-Global,0
535,BES,"Bonaire, Sint Eustatius and Saba",722,Small island developing States (SIDS),2.3-Other groupings,0
535,BES,"Bonaire, Sint Eustatius and Saba",19,Americas (m49),2.4-Regional (M49),0
70,BIH,Bosnia and Herzegovina,150,Europe (M49),2.1-Regional (SDG),1
70,BIH,Bosnia and Herzegovina,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
70,BIH,Bosnia and Herzegovina,514,Developed regions (MDG),2.5-Regional (MDG),1
70,BIH,Bosnia and Herzegovina,39,Southern Europe (M49),2.4-Regional (M49),1
70,BIH,Bosnia and Herzegovina,1,World,1.0-Global,1
72,BWA,Botswana,18,Southern Africa (M49),2.4-Regional (M49),1
72,BWA,Botswana,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
72,BWA,Botswana,1,World,1.0-Global,1
72,BWA,Botswana,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
72,BWA,Botswana,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
72,BWA,Botswana,2,Africa (M49),2.4-Regional (M49),1
72,BWA,Botswana,515,Developing regions (MDG),2.5-Regional (MDG),1
76,BRA,Brazil,5,South America (M49),2.4-Regional (M49),1
76,BRA,Brazil,1,World,1.0-Global,1
76,BRA,Brazil,19,Americas (m49),2.4-Regional (M49),1
76,BRA,Brazil,515,Developing regions (MDG),2.5-Regional (MDG),1
76,BRA,Brazil,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
76,BRA,Brazil,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
86,IOT,British Indian Ocean Territory,2,Africa (M49),2.4-Regional (M49),0
86,IOT,British Indian Ocean Territory,1,World,1.0-Global,0
86,IOT,British Indian Ocean Territory,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),0
86,IOT,British Indian Ocean Territory,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),0
86,IOT,British Indian Ocean Territory,515,Developing regions (MDG),2.5-Regional (MDG),0
86,IOT,British Indian Ocean Territory,14,Eastern Africa (M49),2.4-Regional (M49),0
92,VGB,British Virgin Islands,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),0
92,VGB,British Virgin Islands,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),0
92,VGB,British Virgin Islands,515,Developing regions (MDG),2.5-Regional (MDG),0
92,VGB,British Virgin Islands,722,Small island developing States (SIDS),2.3-Other groupings,0
92,VGB,British Virgin Islands,19,Americas (m49),2.4-Regional (M49),0
92,VGB,British Virgin Islands,1,World,1.0-Global,0
92,VGB,British Virgin Islands,29,Caribbean (M49),2.4-Regional (M49),0
96,BRN,Brunei Darussalam,753,Eastern Asia (M49) and South-eastern Asia (MDG=M49),2.1-Regional (SDG),1
96,BRN,Brunei Darussalam,142,Asia (M49),2.4-Regional (M49),1
96,BRN,Brunei Darussalam,515,Developing regions (MDG),2.5-Regional (MDG),1
96,BRN,Brunei Darussalam,1,World,1.0-Global,1
96,BRN,Brunei Darussalam,35,South-eastern Asia (MDG=M49),2.5-Regional (MDG),1
96,BRN,Brunei Darussalam,35,South-eastern Asia (MDG=M49),2.1-Regional (SDG),1
100,BGR,Bulgaria,150,Europe (M49),2.1-Regional (SDG),1
100,BGR,Bulgaria,151,Eastern Europe (M49),2.4-Regional (M49),1
100,BGR,Bulgaria,1,World,1.0-Global,1
100,BGR,Bulgaria,514,Developed regions (MDG),2.5-Regional (MDG),1
100,BGR,Bulgaria,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
854,BFA,Burkina Faso,515,Developing regions (MDG),2.5-Regional (MDG),1
854,BFA,Burkina Faso,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
854,BFA,Burkina Faso,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
854,BFA,Burkina Faso,11,Western Africa (M49),2.4-Regional (M49),1
854,BFA,Burkina Faso,1,World,1.0-Global,1
854,BFA,Burkina Faso,199,Least Developed Countries (LDCs),2.3-Other groupings,1
854,BFA,Burkina Faso,2,Africa (M49),2.4-Regional (M49),1
854,BFA,Burkina Faso,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
108,BDI,Burundi,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
108,BDI,Burundi,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
108,BDI,Burundi,199,Least Developed Countries (LDCs),2.3-Other groupings,1
108,BDI,Burundi,2,Africa (M49),2.4-Regional (M49),1
108,BDI,Burundi,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
108,BDI,Burundi,515,Developing regions (MDG),2.5-Regional (MDG),1
108,BDI,Burundi,14,Eastern Africa (M49),2.4-Regional (M49),1
108,BDI,Burundi,1,World,1.0-Global,1
132,CPV,Cabo Verde,11,Western Africa (M49),2.4-Regional (M49),1
132,CPV,Cabo Verde,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
132,CPV,Cabo Verde,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
132,CPV,Cabo Verde,722,Small island developing States (SIDS),2.3-Other groupings,1
132,CPV,Cabo Verde,2,Africa (M49),2.4-Regional (M49),1
132,CPV,Cabo Verde,515,Developing regions (MDG),2.5-Regional (MDG),1
132,CPV,Cabo Verde,1,World,1.0-Global,1
116,KHM,Cambodia,35,South-eastern Asia (MDG=M49),2.1-Regional (SDG),1
116,KHM,Cambodia,142,Asia (M49),2.4-Regional (M49),1
116,KHM,Cambodia,753,Eastern Asia (M49) and South-eastern Asia (MDG=M49),2.1-Regional (SDG),1
116,KHM,Cambodia,1,World,1.0-Global,1
116,KHM,Cambodia,199,Least Developed Countries (LDCs),2.3-Other groupings,1
116,KHM,Cambodia,35,South-eastern Asia (MDG=M49),2.5-Regional (MDG),1
116,KHM,Cambodia,515,Developing regions (MDG),2.5-Regional (MDG),1
120,CMR,Cameroon,17,Middle Africa (M49),2.4-Regional (M49),1
120,CMR,Cameroon,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
120,CMR,Cameroon,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
120,CMR,Cameroon,1,World,1.0-Global,1
120,CMR,Cameroon,2,Africa (M49),2.4-Regional (M49),1
120,CMR,Cameroon,515,Developing regions (MDG),2.5-Regional (MDG),1
124,CAN,Canada,21,Northern America (M49),2.1-Regional (SDG),1
124,CAN,Canada,1,World,1.0-Global,1
124,CAN,Canada,19,Americas (m49),2.4-Regional (M49),1
124,CAN,Canada,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
124,CAN,Canada,514,Developed regions (MDG),2.5-Regional (MDG),1
136,CYM,Cayman Islands,19,Americas (m49),2.4-Regional (M49),0
136,CYM,Cayman Islands,29,Caribbean (M49),2.4-Regional (M49),0
136,CYM,Cayman Islands,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),0
136,CYM,Cayman Islands,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),0
136,CYM,Cayman Islands,515,Developing regions (MDG),2.5-Regional (MDG),0
136,CYM,Cayman Islands,1,World,1.0-Global,0
140,CAF,Central African Republic,1,World,1.0-Global,1
140,CAF,Central African Republic,515,Developing regions (MDG),2.5-Regional (MDG),1
140,CAF,Central African Republic,199,Least Developed Countries (LDCs),2.3-Other groupings,1
140,CAF,Central African Republic,17,Middle Africa (M49),2.4-Regional (M49),1
140,CAF,Central African Republic,2,Africa (M49),2.4-Regional (M49),1
140,CAF,Central African Republic,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
140,CAF,Central African Republic,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
140,CAF,Central African Republic,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
148,TCD,Chad,17,Middle Africa (M49),2.4-Regional (M49),1
148,TCD,Chad,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
148,TCD,Chad,1,World,1.0-Global,1
148,TCD,Chad,515,Developing regions (MDG),2.5-Regional (MDG),1
148,TCD,Chad,199,Least Developed Countries (LDCs),2.3-Other groupings,1
148,TCD,Chad,2,Africa (M49),2.4-Regional (M49),1
148,TCD,Chad,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
148,TCD,Chad,432,Landlocked developing countries (LLDCs),2.3-Other groupings,1
830,<NA>,Channel Islands,514,Developed regions (MDG),2.5-Regional (MDG),0
830,<NA>,Channel Islands,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),0
830,<NA>,Channel Islands,150,Europe (M49),2.1-Regional (SDG),0
830,<NA>,Channel Islands,1,World,1.0-Global,0
830,<NA>,Channel Islands,154,Northern Europe (M49),2.4-Regional (M49),0
152,CHL,Chile,515,Developing regions (MDG),2.5-Regional (MDG),1
152,CHL,Chile,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
152,CHL,Chile,19,Americas (m49),2.4-Regional (M49),1
152,CHL,Chile,1,World,1.0-Global,1
152,CHL,Chile,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
152,CHL,Chile,5,South America (M49),2.4-Regional (M49),1
156,CHN,China,1,World,1.0-Global,1
156,CHN,China,753,Eastern Asia (M49) and South-eastern Asia (MDG=M49),2.1-Regional (SDG),1
156,CHN,China,518,Eastern Asia (MDG),2.5-Regional (MDG),1
156,CHN,China,515,Developing regions (MDG),2.5-Regional (MDG),1
156,CHN,China,142,Asia (M49),2.4-Regional (M49),1
156,CHN,China,30,Eastern Asia (M49),2.1-Regional (SDG),1
344,HKG,"China, Hong Kong Special Administrative Region",1,World,1.0-Global,0
344,HKG,"China, Hong Kong Special Administrative Region",753,Eastern Asia (M49) and South-eastern Asia (MDG=M49),2.1-Regional (SDG),0
344,HKG,"China, Hong Kong Special Administrative Region",30,Eastern Asia (M49),2.1-Regional (SDG),0
344,HKG,"China, Hong Kong Special Administrative Region",518,Eastern Asia (MDG),2.5-Regional (MDG),0
344,HKG,"China, Hong Kong Special Administrative Region",515,Developing regions (MDG),2.5-Regional (MDG),0
344,HKG,"China, Hong Kong Special Administrative Region",142,Asia (M49),2.4-Regional (M49),0
446,MAC,"China, Macao Special Administrative Region",518,Eastern Asia (MDG),2.5-Regional (MDG),0
446,MAC,"China, Macao Special Administrative Region",753,Eastern Asia (M49) and South-eastern Asia (MDG=M49),2.1-Regional (SDG),0
446,MAC,"China, Macao Special Administrative Region",30,Eastern Asia (M49),2.1-Regional (SDG),0
446,MAC,"China, Macao Special Administrative Region",515,Developing regions (MDG),2.5-Regional (MDG),0
446,MAC,"China, Macao Special Administrative Region",142,Asia (M49),2.4-Regional (M49),0
446,MAC,"China, Macao Special Administrative Region",1,World,1.0-Global,0
162,CXR,Christmas Island,514,Developed regions (MDG),2.5-Regional (MDG),0
162,CXR,Christmas Island,53,Australia and New Zealand (M49),2.1-Regional (SDG),0
162,CXR,Christmas Island,9,Oceania (M49),2.1-Regional (SDG),0
162,CXR,Christmas Island,1,World,1.0-Global,0
166,CCK,Cocos (Keeling) Islands,53,Australia and New Zealand (M49),2.1-Regional (SDG),0
166,CCK,Cocos (Keeling) Islands,9,Oceania (M49),2.1-Regional (SDG),0
166,CCK,Cocos (Keeling) Islands,514,Developed regions (MDG),2.5-Regional (MDG),0
166,CCK,Cocos (Keeling) Islands,1,World,1.0-Global,0
170,COL,Colombia,515,Developing regions (MDG),2.5-Regional (MDG),1
170,COL,Colombia,1,World,1.0-Global,1
170,COL,Colombia,19,Americas (m49),2.4-Regional (M49),1
170,COL,Colombia,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
170,COL,Colombia,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
170,COL,Colombia,5,South America (M49),2.4-Regional (M49),1
174,COM,Comoros,199,Least Developed Countries (LDCs),2.3-Other groupings,1
174,COM,Comoros,515,Developing regions (MDG),2.5-Regional (MDG),1
174,COM,Comoros,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
174,COM,Comoros,722,Small island developing States (SIDS),2.3-Other groupings,1
174,COM,Comoros,2,Africa (M49),2.4-Regional (M49),1
174,COM,Comoros,14,Eastern Africa (M49),2.4-Regional (M49),1
174,COM,Comoros,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
174,COM,Comoros,1,World,1.0-Global,1
178,COG,Congo,17,Middle Africa (M49),2.4-Regional (M49),1
178,COG,Congo,515,Developing regions (MDG),2.5-Regional (MDG),1
178,COG,Congo,202,Sub-Saharan Africa (M49),2.1-Regional (SDG),1
178,COG,Congo,1,World,1.0-Global,1
178,COG,Congo,2,Africa (M49),2.4-Regional (M49),1
178,COG,Congo,738,Sub-Saharan Africa (MDG),2.5-Regional (MDG),1
184,COK,Cook Islands,9,Oceania (M49),2.1-Regional (SDG),1
184,COK,Cook Islands,1,World,1.0-Global,1
184,COK,Cook Islands,515,Developing regions (MDG),2.5-Regional (MDG),1
184,COK,Cook Islands,543,Oceania (M49) excluding Australia and New Zealand (M49),2.1-Regional (SDG),1
184,COK,Cook Islands,543,Oceania (MDG),2.5-Regional (MDG),1
184,COK,Cook Islands,61,Polynesia (M49),2.4-Regional (M49),1
184,COK,Cook Islands,722,Small island developing States (SIDS),2.3-Other groupings,1
188,CRI,Costa Rica,1,World,1.0-Global,1
188,CRI,Costa Rica,13,Central America (M49),2.4-Regional (M49),1
188,CRI,Costa Rica,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
188,CRI,Costa Rica,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
188,CRI,Costa Rica,515,Developing regions (MDG),2.5-Regional (MDG),1
188,CRI,Costa Rica,19,Americas (m49),2.4-Regional (M49),1
191,HRV,Croatia,513,Northern America (M49) and Europe (M49),2.1-Regional (SDG),1
191,HRV,Croatia,514,Developed regions (MDG),2.5-Regional (MDG),1
191,HRV,Croatia,39,Southern Europe (M49),2.4-Regional (M49),1
191,HRV,Croatia,150,Europe (M49),2.1-Regional (SDG),1
191,HRV,Croatia,1,World,1.0-Global,1
192,CUB,Cuba,19,Americas (m49),2.4-Regional (M49),1
192,CUB,Cuba,515,Developing regions (MDG),2.5-Regional (MDG),1
192,CUB,Cuba,722,Small island developing States (SIDS),2.3-Other groupings,1
192,CUB,Cuba,29,Caribbean (M49),2.4-Regional (M49),1
192,CUB,Cuba,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),1
192,CUB,Cuba,1,World,1.0-Global,1
192,CUB,Cuba,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),1
531,CUW,Curaçao,419,Latin America and the Caribbean (MDG=M49),2.5-Regional (MDG),0
531,CUW,Curaçao,419,Latin America and the Caribbean (MDG=M49),2.1-Regional (SDG),0
531,CUW,Curaçao,29,Caribbean (M49),2.4-Regional (M49),0
531,CUW,Curaçao,515,Developing regions (MDG),2.5-Regional (MDG),0
531,CUW,Curaçao,722,Small island developing States (SIDS),2.3-Other groupings,0
531,CUW,Curaçao,1,World,1.0-Global,0
531,CUW,Curaçao,19,Americas (m49),2.4-Regional (M49),0
196,CYP,Cyprus,514,Developed regions (MDG),2.5-Regional (MDG),1
196,CYP,Cyprus,142,Asia (M49),2.4-Regional (M49),1
196,CYP,Cyprus,145,Western Asia (M49),2.1-Regional (SDG),1
